subIDs,full_N1_all_mean_amp,full_N1_all_mean_amp_odds,full_N1_all_mean_amp_evens,full_N1_all_SME,full_P3_rare-frequent_mean_amp,full_P3_rare-frequent_mean_amp_odds,full_P3_rare-frequent_mean_amp_evens,full_P3_rare-frequent_SME,odds_N1_all_mean_amp,odds_N1_all_mean_amp_odds,odds_N1_all_mean_amp_evens,odds_N1_all_SME,odds_P3_rare-frequent_mean_amp,odds_P3_rare-frequent_mean_amp_odds,odds_P3_rare-frequent_mean_amp_evens,odds_P3_rare-frequent_SME,99_N1_all_mean_amp,99_N1_all_mean_amp_odds,99_N1_all_mean_amp_evens,99_N1_all_SME,99_P3_rare-frequent_mean_amp,99_P3_rare-frequent_mean_amp_odds,99_P3_rare-frequent_mean_amp_evens,99_P3_rare-frequent_SME,90_N1_all_mean_amp,90_N1_all_mean_amp_odds,90_N1_all_mean_amp_evens,90_N1_all_SME,90_P3_rare-frequent_mean_amp,90_P3_rare-frequent_mean_amp_odds,90_P3_rare-frequent_mean_amp_evens,90_P3_rare-frequent_SME
10539200,-1.041436,-1.18932,-0.8919076,0.2102947,2.463822,2.532578,2.391021,0.7311088,-1.10354,-1.126793,-1.080028,0.2353157,0.9521978,0.809616,1.103166,0.955556,-1.045428,-1.195463,-0.8937256,0.2146541,1.612786,1.850742,1.360833,1.029744,-0.9802635,-1.017661,-0.9424505,0.2044951,1.67039,1.340883,2.01928,0.8736059
10585200,-1.084747,-1.213043,-0.9561256,0.1281043,1.013805,1.559172,0.4684377,0.7180138,-1.045277,-1.184609,-0.9055936,0.1282072,1.11951,2.145454,0.09356575,0.8536655,-1.088646,-1.203251,-0.9737514,0.1271052,0.4954817,0.6513203,0.339643,0.7457196,-0.7804695,-0.9365218,-0.624023,0.09673057,0.1691113,0.2672688,0.07095368,0.3045183
10616200,-1.428142,-1.607169,-1.248636,0.09191369,-0.2852118,1.010414,-1.580838,0.8947629,-1.383751,-1.534153,-1.232946,0.09145312,0.9078233,1.082011,0.7336363,0.3970792,-1.414831,-1.607107,-1.222042,0.08349831,0.4945561,0.6618983,0.3272137,0.3076308,-0.6990607,-0.8380725,-0.5596772,0.06510185,-0.3595947,-1.488603,0.7694134,0.9394358
10673100,-1.799127,-1.715105,-1.883368,0.1666157,0.04983248,0.3231866,-0.2271661,0.7092683,-1.78957,-1.75083,-1.828412,0.1683594,0.8491238,0.2406089,1.465752,0.893774,-1.877837,-1.81266,-1.943185,0.157198,1.299986,1.702429,0.8921763,0.6329964,0.009145499,0.009790352,0.008498968,0.001466385,0.1843929,-0.03523142,0.4069455,0.1962774
10687200,-1.61648,-1.6179,-1.615061,0.1037834,0.663251,0.4357371,0.8936448,0.4128205,-1.715483,-1.649824,-1.781143,0.1129456,0.7685348,0.9740656,0.5604023,0.5499183,-1.557512,-1.573371,-1.541654,0.1012217,0.4895839,0.7602286,0.2155133,0.389155,-0.2099161,-0.1991895,-0.2206428,0.01733586,0.01411618,0.1018235,-0.07470132,0.05851261
10689200,-1.084617,-1.242419,-0.926391,0.102949,-0.1589208,0.5175983,-0.8354398,0.4248447,-1.161711,-1.295953,-1.027109,0.1169193,1.551077,2.329595,0.7725589,0.8067859,-1.35875,-1.510402,-1.20669,0.09601274,-0.7109066,-0.1237638,-1.298049,0.42399,-0.1418311,-0.1497814,-0.1338596,0.0272646,0.2003264,0.3351507,0.06550204,0.1738675
10691200,-2.049753,-2.176444,-1.923063,0.1646556,0.731102,-0.2413743,1.716374,0.8684481,-2.268785,-2.435575,-2.101994,0.1968344,0.8889329,-0.2798724,2.073117,1.117908,-2.088023,-2.087859,-2.088187,0.1513693,1.029922,1.279594,0.7769635,0.6936328,-0.0005756445,0.009335644,-0.01048693,0.006983379,0.08453958,0.07587738,0.09331578,0.226346
10692200,-0.8374161,-0.9050863,-0.7697456,0.09009953,-0.3601911,-0.7876771,0.06729485,0.3244599,-0.7583961,-0.8129973,-0.7037945,0.09163908,-1.017928,-1.116403,-0.9194537,0.5432026,-0.8527708,-0.8804927,-0.8250486,0.08840653,-0.8505507,-1.201665,-0.499436,0.3414024,-0.1125679,-0.1035289,-0.1216069,0.01445487,-0.2359322,-0.5088456,0.03698135,0.1294979
10693200,-1.358753,-1.401533,-1.315973,0.1019512,0.2803966,0.1742874,0.3865057,0.469619,-1.133779,-1.106061,-1.161498,0.1175088,0.5988578,0.5636764,0.634039,0.7552835,-1.423847,-1.352047,-1.495646,0.09048238,0.2583855,-0.3965281,0.913299,0.4561558,-0.08834434,-0.02224852,-0.1544401,0.042942,0.1565856,0.07696156,0.2362098,0.275143
10702200,-1.289583,-1.538705,-1.039814,0.1263667,0.1194424,-0.1586477,0.4011915,0.4281831,-1.285503,-1.508257,-1.062171,0.1332693,0.3276062,1.197343,-0.5535739,0.6201296,-1.279631,-1.529428,-1.029185,0.1240953,0.8122987,0.6810313,0.9452932,0.4889228,-0.8694664,-1.049332,-0.6891339,0.1017919,-0.4068013,-0.4235952,-0.3897864,0.2992832
10704200,-0.8915282,-0.7999659,-0.9830905,0.1793216,1.01336,1.711355,0.3049471,0.9513199,-0.8407653,-0.5026172,-1.178913,0.217994,1.205944,1.363409,1.046128,1.105041,-0.9718041,-0.7044655,-1.239143,0.1324681,2.208241,2.198339,2.218291,0.8602911,0.009683806,0.005906716,0.0134609,0.01324803,-0.07257214,-0.09748463,-0.04728787,0.09328204
10705200,-1.723886,-1.745345,-1.702426,0.1181863,0.2987292,0.7308488,-0.1388601,0.4459943,-1.783858,-1.823131,-1.744585,0.1221246,0.8638138,0.7311181,0.998189,0.5755295,-1.672519,-1.69282,-1.652219,0.1174437,0.3725926,0.5963386,0.1460144,0.4261317,-1.540836,-1.527147,-1.554526,0.09392764,0.2932571,0.5669209,0.01612923,0.3833404
10706200,-1.580193,-1.596741,-1.563604,0.1055079,0.3358557,0.7381958,-0.06648443,0.539663,-1.500223,-1.559392,-1.440906,0.1134545,-0.3272027,-1.489238,0.8348325,0.6920168,-1.59466,-1.6067,-1.58259,0.1034262,0.2167829,0.07798042,0.3555853,0.5191178,NA,NA,NA,NA,NA,NA,NA,NA
10709200,-0.6805972,-0.6620309,-0.6991638,0.1162866,-0.5292912,-0.553706,-0.5045464,0.4212723,-0.7516756,-0.7773446,-0.7260067,0.1282953,0.8506968,3.385483,-1.718344,1.451877,-0.6483635,-0.6976451,-0.5990822,0.1113061,0.1263578,-0.05197581,0.3071014,0.3966003,-0.01936604,-0.01472676,-0.02400531,0.003640039,0.02647242,0.3126253,-0.2635474,0.2032393
10710200,-1.45402,-1.980614,-0.9274254,0.1211078,2.650041,2.774701,2.525381,0.5145781,-1.34199,-1.805846,-0.8781337,0.145333,3.618301,4.321703,2.914899,0.5558074,-1.474886,-1.996187,-0.9535852,0.1210878,2.080188,2.410123,1.750254,0.5014279,-1.531819,-2.080424,-0.9832143,0.1142247,1.827547,2.361576,1.293518,0.4022253
10712200,-0.9540379,-0.8691854,-1.039106,0.162506,1.357433,0.7820497,1.932817,0.6675755,-1.142797,-1.077336,-1.208424,0.1660965,1.098324,-0.6251333,2.821781,0.8536099,-0.8666107,-0.7719133,-0.9615484,0.1511835,-0.126736,-0.4619868,0.2085147,0.6643544,0.02441997,0.1187826,-0.07018214,0.07496182,0.6237559,0.6925611,0.554951,0.6258791
10716100,-1.468305,-1.434555,-1.502056,0.09221027,0.7132558,0.7764512,0.6500602,0.4176832,-1.666669,-1.77946,-1.553877,0.138864,0.5385174,0.8135134,0.2635215,0.7131019,-1.468673,-1.435847,-1.501499,0.09086248,0.01844706,-0.1514254,0.1883196,0.3700415,-0.8203269,-0.8334119,-0.8072419,0.05180879,0.2507395,0.02684821,0.4746306,0.2355623
10717200,-1.065101,-1.100132,-1.02997,0.18695,-0.1064855,-2.127002,1.91403,1.468854,-1.084407,-1.139831,-1.028824,0.1889103,0.2343335,-1.62621,2.094877,1.408109,-1.067259,-1.096789,-1.037644,0.1881873,1.018648,-0.6924347,2.729731,1.602067,-0.6911291,-0.6363119,-0.7461033,0.1297732,-1.422763,-2.202351,-0.6431744,1.078021
10718100,-2.430889,-2.419005,-2.442805,0.1343145,0.685763,-0.2466702,1.618196,0.5182535,-2.227345,-2.14218,-2.312735,0.1418262,0.6749014,0.7100209,0.6397819,0.7705644,-2.718561,-2.697017,-2.740164,0.1618871,0.1183823,2.952279,-2.715514,1.237691,-1.171709,-1.14423,-1.19926,0.07583614,-0.05628672,-0.04882841,-0.06374495,0.1466353
10719100,-2.060653,-2.173722,-1.947584,0.07187974,0.316564,0.474199,0.158929,0.2154807,-2.037028,-2.176564,-1.897492,0.0735034,0.3134334,-0.03441186,0.6612787,0.2904426,-2.050088,-2.176054,-1.924121,0.06790916,0.2325571,0.5625433,-0.09742914,0.2260551,-0.2851029,-0.2712695,-0.2989364,0.02017404,-0.2094304,-0.0746617,-0.3441992,0.2100754
10720100,-1.811119,-1.670016,-1.952695,0.1456743,3.331646,4.108459,2.554833,0.589255,-1.861165,-1.675876,-2.047074,0.1551103,3.25872,3.465147,3.052293,0.6182761,-1.784713,-1.618429,-1.951553,0.1406275,3.183746,3.365285,3.002208,0.5159887,NA,NA,NA,NA,NA,NA,NA,NA
10722100,-1.321659,-1.390079,-1.253053,0.09517543,0.9664497,-0.4593941,2.392293,0.9374018,-0.8550358,-0.9651331,-0.7446398,0.09957477,1.241205,0.8535255,1.628885,0.964505,-1.17657,-1.235346,-1.117635,0.09043183,0.8554813,0.4076554,1.303307,0.9834661,-0.6289936,-0.5793739,-0.678748,0.07646086,0.7578523,-0.1798021,1.695507,1.099177
10723100,-1.482314,-1.533514,-1.431114,0.0941331,0.3099148,0.2683711,0.3514585,0.3831346,-1.505459,-1.546844,-1.464074,0.09948676,0.05238561,-0.1370799,0.2418512,0.4007466,-1.49119,-1.542491,-1.43989,0.09317188,-0.2422024,-0.2917085,-0.1926963,0.3784608,-1.433992,-1.390113,-1.477871,0.07932172,0.07379684,-0.009506066,0.1570997,0.3023776
10724100,-1.114604,-1.322336,-0.9063074,0.1613612,0.26535,-0.4914623,1.022162,0.6785455,-1.133037,-1.34454,-0.9209598,0.1611856,0.5428149,0.04710376,1.038526,0.7686355,-1.151802,-1.358825,-0.9442161,0.1616151,-0.1728228,0.2074478,-0.5530933,0.6981372,-1.080441,-1.388478,-0.7715665,0.1451037,-0.7756095,-0.2616773,-1.289541,1.02875
10725100,-2.111589,-2.0552,-2.167978,0.09627188,0.1987396,0.08496136,0.3140765,0.4874455,-2.094461,-2.037443,-2.151478,0.09203059,-0.001095402,0.5790866,-0.5892251,0.6372458,-2.108494,-2.025713,-2.191274,0.09683153,0.6576636,0.8197557,0.4933513,0.4867782,-1.770556,-1.66591,-1.875202,0.0874667,0.5035153,0.9047128,0.09682167,0.3593585
10726100,-0.8383339,-0.7890064,-0.8876612,0.09672886,1.386546,0.8012103,1.971882,0.7721501,-0.7159598,-0.6525407,-0.7793791,0.098773,1.515892,2.465487,0.5662981,1.049843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10728100,-0.3655465,-0.2967519,-0.4343412,0.163758,0.6105952,0.7575663,0.4609022,0.6518106,-0.5776081,-0.4868067,-0.6684095,0.1644696,0.5086686,1.076989,-0.0701756,1.299091,-0.3501439,-0.198785,-0.5015028,0.1423775,0.4779333,0.0005913994,0.9641148,0.4035211,-0.1927004,-0.1938769,-0.1915238,0.1900763,-0.3370947,-0.2225962,-0.4537137,1.337183
10729200,-1.107765,-1.026287,-1.189243,0.119496,0.05300898,0.1041415,0.001876589,0.5670847,-1.291149,-1.229958,-1.35234,0.1294992,-0.5749633,-0.9842613,-0.1656654,0.8214217,-1.113189,-1.013327,-1.21305,0.1120163,-0.478111,-0.4018003,-0.5544217,0.4062553,-0.6989504,-0.6363814,-0.7615196,0.07788274,-0.1444703,-0.2301927,-0.05874778,0.1395209
10730100,-2.670576,-2.724056,-2.616962,0.1107822,0.7228398,1.180905,0.2647752,0.5077263,-2.759392,-2.790647,-2.728059,0.1140669,-0.2720348,-1.414193,0.8701237,0.6156919,-2.590716,-2.644914,-2.536381,0.1059677,0.0596761,0.0377748,0.08157756,0.390837,-0.3684919,-0.3398215,-0.3972346,0.03895549,0.0005542099,-0.0008013472,0.001909768,0.005045463
10731100,-1.315722,-1.290498,-1.340945,0.09437694,0.6394843,0.5888567,0.6907696,0.3820108,-1.326285,-1.234682,-1.417888,0.0969175,0.8800114,0.6903824,1.072103,0.419087,-1.278538,-1.243289,-1.313788,0.09146974,0.09640715,0.3616115,-0.1722416,0.3539942,-1.019792,-0.9621933,-1.077392,0.07285984,0.2189782,0.4139852,0.02143876,0.3351897
10733100,-1.073109,-0.9307674,-1.215451,0.07963381,-0.3903504,-0.07243822,-0.7126176,0.5282105,-1.143199,-1.009857,-1.276542,0.110691,0.09684159,0.2115689,-0.01945757,0.6201919,-1.111308,-0.9505488,-1.272067,0.07499278,-0.5335425,-0.960883,-0.100348,0.3439402,-0.03431552,-0.03230544,-0.03632559,0.01173396,0.0607242,0.1628303,-0.04278055,0.04408374
10735100,-1.264109,-1.332337,-1.195881,0.1282005,0.906257,0.6006957,1.215893,0.5119954,-1.028758,-1.185845,-0.8716713,0.1364061,1.169716,1.554152,0.7801543,1.029437,-1.221472,-1.316721,-1.126223,0.1250488,-0.1030539,-0.3716068,0.1690798,0.4219041,0.01309415,0.01910461,0.007083685,0.003859745,-0.2119115,-0.2063561,-0.217541,0.1224957
10736100,-1.55392,-1.549224,-1.558629,0.145703,0.7097807,0.67484,0.7447213,1.346294,-1.671801,-1.602985,-1.7408,0.1693689,-0.2981556,-0.5866554,-0.009655681,0.7079098,-1.468443,-1.62238,-1.314093,0.1194298,0.002909506,0.9554028,-0.9495837,0.5531964,0.08258353,0.02248201,0.1428457,0.03181427,3.062481,-0.223998,6.34896,2.912436
10737200,-0.7188364,-0.9491681,-0.4885046,0.1197004,-0.3429256,-0.4636119,-0.2191448,0.3342447,-0.7467452,-0.9514479,-0.5420424,0.1233366,-0.01593395,-0.2169682,0.190255,0.3892785,-0.7297024,-0.9540734,-0.5053314,0.1196638,-0.1573685,-0.6686976,0.3670715,0.3946362,-0.8364679,-0.96144,-0.7114953,0.1102766,0.6180842,-0.2673144,1.526185,0.5949262
10739100,0.04620291,-0.03785006,0.1302559,0.08454227,-0.165928,-0.5697801,0.2379244,0.7413896,0.04274743,-0.03415475,0.1196496,0.08573931,0.5013377,0.6955648,0.3071103,0.7598491,0.05737102,-0.01423942,0.1289815,0.08248486,0.7227976,0.6925573,0.753038,0.6280921,0.4996355,0.4629081,0.5363632,0.04869253,-0.3191401,0.04433123,-0.6826113,0.6200082
10740100,-1.29794,-0.9920118,-1.603868,0.4231659,2.192087,1.294966,3.103225,1.530563,-1.482358,-1.016722,-1.947992,0.4211083,1.550558,4.759062,-1.708077,1.831663,-1.160489,-0.8133683,-1.50761,0.3714465,0.660059,-0.285326,1.620215,1.219225,-0.2384903,-0.09496107,-0.3820194,0.2153923,1.069853,2.063088,0.06109989,1.067584
10741100,-1.280823,-1.16005,-1.401596,0.07134567,0.2573079,0.6599799,-0.145364,0.271661,-1.395689,-1.316193,-1.475184,0.07646343,-0.1396709,-0.1059363,-0.1734055,0.3402937,-1.276125,-1.170124,-1.382126,0.06768107,-0.1105425,-0.0599856,-0.1610994,0.2817743,-1.125093,-1.022441,-1.227743,0.06240535,0.2091066,0.3649306,0.05328261,0.2544114
10743200,-1.040531,-1.122636,-0.9584258,0.08644143,0.1107649,0.05706125,0.1652042,0.2753021,-0.7983511,-0.8405657,-0.7561369,0.1007052,0.5470762,0.4106091,0.6854127,0.7480603,-0.9269931,-0.9203466,-0.9336396,0.07700584,-0.5232516,-0.466247,-0.5810371,0.2054717,-0.7228745,-0.7078935,-0.7378554,0.2880788,1.250406,1.672782,0.822243,1.981052
10745100,-1.69199,-1.723703,-1.660194,0.1196747,-0.4193838,0.3020566,-1.150443,0.5968321,-1.714215,-1.746511,-1.681834,0.102994,-0.8789766,-1.368634,-0.3827899,1.128909,-0.2310337,-0.2610128,-0.2009765,0.03603931,-0.06067795,0.1740299,-0.2985152,0.2373819,NA,NA,NA,NA,NA,NA,NA,NA
10746100,-1.678404,-1.558515,-1.798805,0.1705878,-1.10392,-1.96274,-0.226431,0.7248619,-0.9891863,-0.6786509,-1.301049,0.2045806,-0.02517606,-1.186454,1.161347,0.6353153,-1.469453,-1.118926,-1.821478,0.1345787,-0.3587718,-0.4054846,-0.3110436,0.5817325,NA,NA,NA,NA,NA,NA,NA,NA
10748100,-1.573719,-1.53815,-1.60938,0.1184028,-0.1849725,0.02493229,-0.3975686,0.4403705,-1.661117,-1.823965,-1.497854,0.1603406,-0.4689554,0.3830421,-1.331876,0.5524904,-1.145705,-1.150199,-1.1412,0.08578446,0.4534789,1.101891,-0.2032467,0.3888656,-0.8905889,-1.153436,-0.6270711,0.1573736,-0.2104013,0.3160194,-0.743571,0.6760664
10749200,-2.527582,-3.108952,-1.946212,0.2053593,0.9265805,2.149611,-0.2964493,0.6011259,-2.531777,-3.110186,-1.953368,0.2081156,1.085562,1.238155,0.932968,0.5653524,-2.560583,-3.125729,-1.995437,0.2044389,1.083887,0.7393155,1.428459,0.5575331,-1.608973,-1.960784,-1.257161,0.1457099,0.377845,0.5392193,0.2164706,0.4311124
10750100,-0.8147865,-1.25432,-0.3708132,0.1885977,-0.2606795,0.03337066,-0.5702058,0.6077395,-1.239927,-1.253265,-1.226455,0.3229781,2.765719,5.737297,-0.3622585,2.392762,-0.9471629,-1.38346,-0.5064583,0.1707048,-0.7442443,-0.7686351,-0.7185699,0.4319478,-0.1937037,-0.2208574,-0.1662758,0.04704471,-0.1380291,-0.2601372,-0.009494481,0.1044827
